depth,shift,discharge,flag
12.80,-0.01,8051.65,
12.81,-0.01,8065.75,
12.82,0.00,8079.87,
12.83,0.00,8094.01,
12.84,0.00,8108.15,
12.85,0.00,8122.31,
12.86,0.00,8136.49,
12.87,0.00,8150.68,
12.88,0.00,8164.88,
12.89,0.00,8179.09,
12.90,0.00,8193.32,
12.91,0.00,8207.56,
12.92,0.00,8221.81,
12.93,0.00,8236.08,
12.94,0.00,8250.36,
12.95,0.00,8264.66,
12.96,0.00,8278.97,
12.97,0.00,8293.29,
12.98,0.00,8307.62,
12.99,0.00,8321.97,
13.00,0.00,8336.33,
13.01,0.00,8350.34,
13.02,0.00,8364.35,
13.03,0.00,8378.38,
13.04,0.00,8392.42,
13.05,0.00,8406.48,
13.06,0.00,8420.54,
13.07,0.00,8434.62,
13.08,0.00,8448.72,
13.09,0.00,8462.82,
13.10,0.00,8476.94,
13.11,0.00,8491.07,
13.12,0.00,8505.21,
13.13,0.00,8519.37,
13.14,0.00,8533.54,
13.15,0.00,8547.72,
13.16,0.00,8561.92,
13.17,0.00,8576.12,
13.18,0.00,8590.34,
13.19,0.00,8604.58,
13.20,0.00,8618.82,
13.21,0.00,8633.08,
13.22,0.00,8647.35,
13.23,0.00,8661.64,
13.24,0.00,8675.93,
13.25,0.00,8690.24,
13.26,0.00,8704.56,
13.27,0.00,8718.90,
13.28,0.00,8733.25,
13.29,0.00,8747.61,
13.30,0.00,8761.98,
13.31,0.00,8776.37,
13.32,0.00,8790.77,
13.33,0.00,8805.18,
13.34,0.00,8819.60,
13.35,0.00,8834.04,
13.36,0.00,8848.49,
13.37,0.00,8862.95,
13.38,0.00,8877.43,
13.39,0.00,8891.92,
13.40,0.00,8906.42,
13.41,0.00,8920.93,
13.42,0.00,8935.46,
13.43,0.00,8950.00,
13.44,0.00,8964.55,
13.45,0.00,8979.12,
13.46,0.00,8993.70,
13.47,0.00,9008.29,
13.48,0.00,9022.89,
13.49,0.00,9037.51,
13.50,0.00,9052.14,
13.51,0.00,9066.78,
13.52,0.00,9081.44,
13.53,0.00,9096.10,
13.54,0.00,9110.78,
